Sub Category,Price,Has_Discount,Rating_Score,Num_Reviews,Popular
Bakery & Desserts,56.99,0,4.3,265.0,0
Bakery & Desserts,159.99,0,5.0,1.0,0
Bakery & Desserts,44.99,0,4.1,441.0,0
Bakery & Desserts,39.99,0,4.7,9459.0,1
Bakery & Desserts,59.99,0,4.5,758.0,1
Bakery & Desserts,59.99,0,4.4,369.0,0
Bakery & Desserts,74.99,0,4.7,2241.0,1
Bakery & Desserts,59.99,0,4.4,232.0,0
Bakery & Desserts,29.99,0,4.4,1679.0,0
Bakery & Desserts,159.99,0,5.0,2.0,0
Bakery & Desserts,62.99,0,4.0,357.0,0
Bakery & Desserts,299.99,0,3.0,1.0,0
Bakery & Desserts,54.99,0,4.7,273.0,0
Bakery & Desserts,54.99,0,4.6,369.0,0
Bakery & Desserts,89.99,0,4.6,133.0,0
Bakery & Desserts,59.99,0,4.5,452.0,0
Bakery & Desserts,89.99,0,,,0
Bakery & Desserts,49.99,0,4.2,85.0,0
Bakery & Desserts,159.99,0,1.5,2.0,0
Bakery & Desserts,89.99,0,,,0
Bakery & Desserts,99.99,0,3.6,5.0,0
Bakery & Desserts,89.99,0,3.0,2.0,0
Bakery & Desserts,24.99,0,4.7,687.0,1
Bakery & Desserts,39.99,0,4.3,845.0,0
Bakery & Desserts,72.99,0,4.3,87.0,0
Bakery & Desserts,119.99,0,2.2,4.0,0
Bakery & Desserts,109.99,0,4.2,181.0,0
Bakery & Desserts,99.99,0,4.0,16.0,0
Bakery & Desserts,34.99,0,4.5,702.0,1
Bakery & Desserts,59.99,0,4.2,137.0,0
Bakery & Desserts,89.99,0,3.0,5.0,0
Bakery & Desserts,89.99,0,,,0
Bakery & Desserts,59.99,0,,,0
Beverages & Water,99.99,1,4.5,28.0,0
Beverages & Water,27.99,0,,,0
Beverages & Water,21.99,0,,,0
Beverages & Water,20.99,1,,,0
Beverages & Water,19.99,1,,,0
Beverages & Water,19.99,1,,,0
Beverages & Water,439.99,1,4.3,1957.0,0
Beverages & Water,9.99,0,,,0
Beverages & Water,14.99,0,,,0
Beverages & Water,21.99,0,,,0
Beverages & Water,18.99,0,,,0
Beverages & Water,21.49,0,,,0
Beverages & Water,17.99,0,,,0
Beverages & Water,89.99,1,4.4,40.0,0
Beverages & Water,23.99,0,,,0
Beverages & Water,4.99,0,,,0
Beverages & Water,24.99,0,,,0
Beverages & Water,18.99,0,,,0
Beverages & Water,54.99,0,4.8,33.0,0
Beverages & Water,12.99,0,,,0
Beverages & Water,21.99,0,,,0
Beverages & Water,18.99,0,,,0
Beverages & Water,18.99,0,,,0
Beverages & Water,32.99,0,5.0,1.0,0
Beverages & Water,29.99,0,,,0
Beverages & Water,21.99,0,,,0
Beverages & Water,13.79,0,,,0
Beverages & Water,23.49,0,,,0
Beverages & Water,19.99,0,,,0
Beverages & Water,14.99,0,,,0
Beverages & Water,21.99,0,,,0
Beverages & Water,13.79,0,,,0
Beverages & Water,14.99,0,,,0
Beverages & Water,34.99,0,4.5,1911.0,1
Beverages & Water,39.99,0,4.0,138.0,0
Beverages & Water,19.99,0,,,0
Beverages & Water,22.99,0,,,0
Beverages & Water,49.99,0,4.8,1150.0,1
Beverages & Water,14.99,0,,,0
Beverages & Water,8.99,0,,,0
Beverages & Water,23.99,0,,,0
Beverages & Water,12.99,0,,,0
Beverages & Water,21.99,0,,,0
Beverages & Water,23.99,0,,,0
Beverages & Water,15.99,0,,,0
Beverages & Water,12.99,0,,,0
Beverages & Water,13.79,0,,,0
Beverages & Water,28.99,0,,,0
Beverages & Water,27.99,0,,,0
Beverages & Water,23.99,0,,,0
Beverages & Water,34.99,0,4.7,2340.0,1
Beverages & Water,15.99,0,,,0
Beverages & Water,12.99,0,,,0
Beverages & Water,23.99,0,,,0
Beverages & Water,39.99,1,,,0
Beverages & Water,16.49,0,,,0
Beverages & Water,549.99,0,3.6,15.0,0
Beverages & Water,17.49,1,,,0
Beverages & Water,25.99,0,,,0
Beverages & Water,11.69,0,,,0
Beverages & Water,59.99,0,4.8,312.0,0
Beverages & Water,69.99,0,4.0,777.0,0
Beverages & Water,21.99,0,,,0
Beverages & Water,19.99,0,,,0
Beverages & Water,21.79,0,,,0
Beverages & Water,99.99,0,4.1,753.0,0
Beverages & Water,17.99,0,,,0
Beverages & Water,29.99,0,,,0
Beverages & Water,18.99,0,,,0
Beverages & Water,37.99,0,,,0
Beverages & Water,19.99,0,,,0
Beverages & Water,139.99,0,3.8,49.0,0
Beverages & Water,18.99,0,,,0
Beverages & Water,37.99,0,,,0
Beverages & Water,159.99,0,4.3,210.0,0
Beverages & Water,19.99,0,,,0
Beverages & Water,13.79,0,,,0
Beverages & Water,13.79,0,,,0
Beverages & Water,23.99,0,,,0
Beverages & Water,17.99,0,,,0
Beverages & Water,9.99,0,,,0
Beverages & Water,21.99,0,,,0
Beverages & Water,14.99,0,,,0
Beverages & Water,41.99,0,,,0
Beverages & Water,15.99,0,,,0
Beverages & Water,99.99,0,5.0,6.0,0
Beverages & Water,18.49,0,,,0
Beverages & Water,17.99,0,,,0
Beverages & Water,15.99,0,,,0
Beverages & Water,18.99,0,,,0
Beverages & Water,69.99,0,4.9,62.0,0
Beverages & Water,19.99,0,,,0
Beverages & Water,37.99,0,,,0
Beverages & Water,12.99,0,,,0
Beverages & Water,12.99,0,,,0
Beverages & Water,28.99,0,,,0
Beverages & Water,74.99,0,4.3,354.0,0
Beverages & Water,23.99,0,,,0
Beverages & Water,18.99,0,,,0
Beverages & Water,16.99,0,,,0
Beverages & Water,41.99,0,,,0
Beverages & Water,18.99,0,,,0
Beverages & Water,15.99,0,,,0
Beverages & Water,36.99,0,,,0
Beverages & Water,54.99,0,4.7,6.0,0
Beverages & Water,28.99,0,,,0
Beverages & Water,36.99,0,,,0
Beverages & Water,23.49,0,,,0
Beverages & Water,20.99,0,,,0
Beverages & Water,99.99,0,4.0,35.0,0
Beverages & Water,14.99,0,,,0
Beverages & Water,39.99,0,,,0
Beverages & Water,10.99,0,,,0
Beverages & Water,23.99,0,,,0
Beverages & Water,23.99,0,,,0
Beverages & Water,41.99,0,,,0
Beverages & Water,61.99,0,,,0
Beverages & Water,10.99,0,,,0
Beverages & Water,39.99,0,,,0
Beverages & Water,22.99,0,,,0
Beverages & Water,61.99,0,,,0
Beverages & Water,24.99,0,4.0,3.0,0
Beverages & Water,39.99,0,4.8,1251.0,1
Beverages & Water,9.99,0,,,0
Beverages & Water,15.99,0,,,0
Beverages & Water,22.99,0,,,0
Beverages & Water,9.99,0,,,0
Beverages & Water,89.99,0,4.2,90.0,0
Beverages & Water,17.99,0,,,0
Beverages & Water,49.99,0,,,0
Beverages & Water,41.99,0,,,0
Beverages & Water,41.99,0,,,0
Beverages & Water,39.99,1,,,0
Beverages & Water,17.99,0,,,0
Beverages & Water,20.99,0,,,0
Beverages & Water,41.99,0,,,0
Beverages & Water,41.99,0,,,0
Beverages & Water,21.99,0,,,0
Beverages & Water,22.99,0,,,0
Beverages & Water,49.99,0,,,0
Beverages & Water,23.99,0,,,0
Beverages & Water,9.99,0,,,0
Beverages & Water,17.59,0,,,0
Beverages & Water,49.99,0,,,0
Beverages & Water,49.99,0,,,0
Beverages & Water,23.99,0,,,0
Beverages & Water,11.99,0,,,0
Beverages & Water,24.49,0,3.7,21.0,0
Breakfast,10.49,1,,,0
Breakfast,9.69,0,,,0
Breakfast,8.19,1,,,0
Breakfast,9.99,0,,,0
Breakfast,28.99,1,4.8,1275.0,1
Breakfast,36.99,0,4.7,149.0,0
Breakfast,14.99,0,,,0
Breakfast,9.99,0,,,0
Breakfast,10.49,0,,,0
Breakfast,12.99,0,,,0
Breakfast,9.49,0,,,0
Breakfast,12.49,0,,,0
Breakfast,10.99,0,,,0
Breakfast,9.99,0,,,0
Breakfast,11.99,1,,,0
Breakfast,9.99,0,,,0
Breakfast,11.99,0,,,0
Breakfast,10.99,0,,,0
Breakfast,10.99,0,,,0
Breakfast,12.69,0,,,0
Breakfast,14.99,0,,,0
Candy,16.99,0,,,0
Candy,15.99,0,,,0
Candy,16.99,0,,,0
Candy,22.99,0,,,0
Candy,10.99,1,,,0
Candy,11.99,0,,,0
Candy,15.99,0,,,0
Candy,34.99,0,,,0
Candy,29.99,0,4.8,227.0,0
Candy,11.99,1,,,0
Candy,14.99,0,,,0
Candy,24.99,0,,,0
Candy,39.99,0,,,0
Candy,29.99,0,4.9,761.0,1
Candy,15.99,0,,,0
Candy,11.99,0,,,0
Candy,44.99,0,,,0
Candy,31.99,0,,,0
Candy,17.99,0,,,0
Candy,49.99,0,4.7,1452.0,1
Candy,18.99,0,4.7,601.0,1
Candy,14.99,0,,,0
Candy,54.99,0,4.7,228.0,0
Candy,15.99,0,,,0
Candy,32.99,0,4.0,12.0,0
Candy,44.99,0,2.5,2.0,0
Candy,32.99,0,3.4,7.0,0
Candy,28.99,0,,,0
Candy,12.99,0,,,0
Candy,19.99,0,,,0
Candy,15.49,0,,,0
Candy,10.99,0,,,0
Candy,21.99,0,,,0
Candy,46.99,0,4.6,165.0,0
Candy,11.49,0,,,0
Candy,39.99,0,,,0
Candy,16.39,1,,,0
Candy,19.99,0,,,0
Candy,17.49,0,,,0
Candy,29.99,0,,,0
Candy,19.99,0,,,0
Candy,15.99,0,,,0
Candy,18.99,0,,,0
Candy,14.99,0,,,0
Candy,15.99,0,,,0
Candy,34.99,0,4.6,6766.0,1
Candy,17.99,0,,,0
Candy,18.99,0,,,0
Candy,13.99,0,,,0
Candy,19.99,0,,,0
Candy,16.39,1,,,0
Candy,39.99,0,,,0
Candy,9.99,0,,,0
Candy,19.99,0,,,0
Candy,17.99,0,,,0
Candy,11.99,0,,,0
Candy,16.99,0,,,0
Candy,16.99,0,,,0
Candy,11.49,0,,,0
Candy,19.99,0,,,0
Candy,17.99,0,,,0
Candy,44.99,0,,,0
Candy,10.99,1,,,0
Candy,8.99,0,,,0
Candy,24.99,0,,,0
Candy,24.99,0,,,0
Candy,16.49,0,,,0
Candy,10.49,1,,,0
Candy,11.99,0,,,0
Candy,34.99,0,4.7,2848.0,1
Candy,14.99,0,,,0
Candy,38.99,0,,,0
Candy,10.99,1,,,0
Candy,34.99,0,4.6,345.0,0
Candy,34.99,0,,,0
Candy,10.99,1,,,0
Candy,11.49,0,,,0
Candy,19.99,0,,,0
Candy,19.99,0,,,0
Candy,39.99,0,,,0
Candy,36.99,0,,,0
Candy,26.99,0,,,0
Candy,11.99,0,,,0
Candy,49.99,0,,,0
Candy,13.49,0,,,0
Candy,14.99,0,,,0
Candy,26.99,0,,,0
Candy,37.99,0,,,0
Candy,39.99,0,,,0
Candy,18.99,0,,,0
Candy,19.99,0,,,0
Candy,49.99,0,,,0
Candy,16.99,0,,,0
Candy,14.99,0,,,0
Candy,19.99,0,,,0
Candy,11.99,1,,,0
Candy,18.99,0,4.7,68.0,0
Candy,34.99,0,,,0
Candy,19.99,0,,,0
Candy,21.99,0,,,0
Candy,14.49,0,,,0
Candy,26.69,1,,,0
Candy,20.99,0,,,0
Candy,13.99,0,,,0
Candy,42.99,0,3.0,8.0,0
Candy,39.99,0,,,0
Candy,44.99,0,,,0
Candy,22.99,0,,,0
Candy,36.99,0,,,0
Candy,44.99,0,,,0
Candy,15.99,0,,,0
Candy,14.99,0,,,0
Candy,11.99,1,,,0
Candy,34.99,0,,,0
Candy,34.99,0,4.7,35.0,0
Candy,11.49,0,,,0
Candy,39.99,0,,,0
Candy,45.99,0,,,0
Candy,49.99,0,,,0
Candy,39.99,0,4.2,11.0,0
Candy,25.99,0,,,0
Candy,39.99,0,,,0
Candy,14.99,0,,,0
Candy,39.99,0,,,0
Candy,54.99,0,4.0,1.0,0
Candy,44.99,0,,,0
Candy,17.99,0,,,0
Candy,39.99,0,,,0
Candy,17.99,0,,,0
Candy,24.99,0,,,0
Candy,21.99,0,,,0
Candy,17.99,0,,,0
Candy,17.99,0,,,0
Candy,42.99,0,3.4,14.0,0
Candy,11.99,0,,,0
Candy,25.99,0,,,0
Candy,36.99,0,,,0
Candy,46.99,0,,,0
Candy,42.99,0,3.8,12.0,0
Candy,34.99,0,,,0
Candy,17.99,0,,,0
Candy,24.99,0,,,0
Candy,7.99,0,,,0
Candy,17.99,0,,,0
Candy,26.99,0,,,0
Candy,15.49,0,,,0
Candy,22.99,0,,,0
Candy,25.69,1,,,0
Candy,31.99,0,,,0
Candy,15.99,0,,,0
Candy,13.49,0,,,0
Candy,26.99,0,,,0
Candy,54.99,0,,,0
Candy,17.99,0,,,0
Cleaning Supplies,28.99,1,,,0
Cleaning Supplies,28.99,1,,,0
Cleaning Supplies,24.99,1,,,0
Cleaning Supplies,15.99,1,,,0
Cleaning Supplies,15.99,1,,,0
Cleaning Supplies,19.49,1,,,0
Cleaning Supplies,12.09,1,,,0
Cleaning Supplies,19.99,1,,,0
Cleaning Supplies,10.79,1,,,0
Cleaning Supplies,16.99,0,,,0
Cleaning Supplies,17.89,1,,,0
Cleaning Supplies,13.99,1,,,0
Cleaning Supplies,42.99,1,4.8,2658.0,1
Cleaning Supplies,23.99,0,,,0
Cleaning Supplies,34.99,0,,,0
Cleaning Supplies,28.79,0,,,0
Cleaning Supplies,21.49,0,,,0
Cleaning Supplies,54.99,0,4.6,386.0,0
Cleaning Supplies,21.99,0,,,0
Cleaning Supplies,19.99,0,,,0
Cleaning Supplies,89.99,0,4.7,3.0,0
Cleaning Supplies,22.99,0,,,0
Cleaning Supplies,14.49,1,,,0
Cleaning Supplies,84.99,0,4.3,19.0,0
Cleaning Supplies,89.99,0,4.8,1171.0,1
Cleaning Supplies,14.49,1,,,0
Cleaning Supplies,38.99,0,4.6,308.0,0
Cleaning Supplies,38.99,0,4.7,1064.0,1
Cleaning Supplies,13.99,0,,,0
Cleaning Supplies,13.99,0,,,0
Cleaning Supplies,29.99,0,4.4,112.0,0
Cleaning Supplies,17.99,0,,,0
Cleaning Supplies,16.99,1,,,0
Cleaning Supplies,32.99,0,,,0
Cleaning Supplies,12.99,0,,,0
Cleaning Supplies,38.99,0,4.7,2060.0,1
Cleaning Supplies,22.99,0,,,0
Cleaning Supplies,22.99,0,,,0
Cleaning Supplies,20.89,0,,,0
Cleaning Supplies,44.99,0,,,0
Cleaning Supplies,36.99,0,3.3,3.0,0
Cleaning Supplies,9.79,0,,,0
Cleaning Supplies,29.89,0,4.7,12.0,0
Cleaning Supplies,29.99,0,,,0
