TransactionID,variable,item
4,Item 1,citrus fruit
3,Item 1,tropical fruit
1,Item 1,whole milk
4,Item 1,pip fruit
4,Item 1,other vegetables
5,Item 1,whole milk
1,Item 1,rolls/buns
5,Item 1,other vegetables
1,Item 1,potted plants
2,Item 1,whole milk
5,Item 1,tropical fruit
9,Item 1,citrus fruit
1,Item 1,beef
3,Item 1,frankfurter
2,Item 1,chicken
4,Item 1,butter
1,Item 1,fruit/vegetable juice
1,Item 1,packaged fruit/vegetables
1,Item 1,chocolate
1,Item 1,specialty bar
1,Item 1,other vegetables
2,Item 1,butter milk
11,Item 1,tropical fruit
2,Item 1,bottled water
1,Item 1,yogurt
4,Item 1,sausage
6,Item 1,brown bread
4,Item 1,yogurt
7,Item 1,hamburger meat
5,Item 1,root vegetables
8,Item 1,pork
3,Item 1,beef
2,Item 1,pastry
1,Item 1,canned beer
4,Item 1,root vegetables
3,Item 1,citrus fruit
6,Item 1,sausage
13,Item 1,tropical fruit
2,Item 1,berries
8,Item 1,butter milk
1,Item 1,coffee
1,Item 1,misc. beverages
10,Item 1,root vegetables
4,Item 1,ham
10,Item 1,turkey
4,Item 1,whole milk
3,Item 1,packaged fruit/vegetables
7,Item 1,rolls/buns
6,Item 1,ham
3,Item 1,rolls/buns
7,Item 1,other vegetables
2,Item 1,sausage
3,Item 1,sausage
5,Item 1,frankfurter
2,Item 1,curd cheese
2,Item 1,red/blush wine
8,Item 1,tropical fruit
1,Item 1,red/blush wine
7,Item 1,whole milk
8,Item 1,frankfurter
3,Item 1,whole milk
1,Item 1,frozen potato products
5,Item 1,citrus fruit
5,Item 1,flour
4,Item 1,sugar
2,Item 1,frozen meals
7,Item 1,herbs
1,Item 1,bottled water
7,Item 1,sausage
2,Item 1,coffee
3,Item 1,pork
1,Item 1,soda
1,Item 1,berries
3,Item 1,fruit/vegetable juice
9,Item 1,pork
1,Item 1,detergent
2,Item 1,grapes
9,Item 1,sausage
10,Item 1,chicken
2,Item 1,citrus fruit
2,Item 1,soda
10,Item 1,sausage
2,Item 1,rolls/buns
6,Item 1,beef
1,Item 1,processed cheese
2,Item 1,tropical fruit
10,Item 1,frankfurter
2,Item 1,packaged fruit/vegetables
8,Item 1,whole milk
6,Item 1,hamburger meat
8,Item 1,fish
4,Item 1,frankfurter
4,Item 1,packaged fruit/vegetables
2,Item 1,other vegetables
15,Item 1,frankfurter
1,Item 1,sparkling wine
1,Item 1,curd cheese
2,Item 1,frankfurter
1,Item 1,newspapers
3,Item 1,curd
3,Item 1,other vegetables
7,Item 1,citrus fruit
5,Item 1,butter milk
2,Item 1,pasta
6,Item 1,other vegetables
6,Item 1,grapes
9,Item 1,root vegetables
1,Item 1,popcorn
5,Item 1,beef
4,Item 1,finished products
2,Item 1,beverages
3,Item 1,hamburger meat
3,Item 1,finished products
8,Item 1,ham
5,Item 1,curd
1,Item 1,bottled beer
8,Item 1,curd
2,Item 1,dessert
3,Item 1,ham
4,Item 1,soda
2,Item 1,herbs
23,Item 1,frankfurter
7,Item 1,curd
6,Item 1,frankfurter
1,Item 1,dog food
7,Item 1,beef
5,Item 1,pork
1,Item 1,specialty chocolate
2,Item 1,curd
6,Item 1,butter
4,Item 1,condensed milk
5,Item 1,sausage
1,Item 1,beverages
2,Item 1,cleaner
12,Item 1,sausage
2,Item 1,misc. beverages
1,Item 1,white wine
4,Item 1,meat
3,Item 1,ice cream
6,Item 1,tropical fruit
